--Category(test start)start--,
test start, (Added: 2024-01-01), <-- reason: test start,
--Category(test start)end--,

--Category(Attacking cc Members)start--,
-Bern seacat, (Added: Unknown Date), <-- reason: Crashing,
0gre, (Added: 2026-03-19), <-- reason: Leaking fc and calling crashers [Proof: evidence/0gre/0gre_20260319_213342.png],
0kym, (Added: Unknown Date), <-- reason: No reason provided.,
0paul549, (Added: 2026-05-16), <-- reason: crashing,
0srs pk, (Added: 2026-04-28), <-- reason: attacking ranks,
0xZeroTrust, (Added: 2026-05-11), <-- reason: Crashing,
1 inv andyz, (Added: Unknown Date), <-- reason: No reason provided.,
1mikeoxlong5, (Added: 2026-02-28), <-- reason: attacking fc members during anti,
1ngodw3trust, (Added: 2026-05-31), <-- reason: refusing to join cc and actively crashing games,
2_the_loo, (Added: Unknown Date), <-- reason: No reason provided.,
3 20, (Added: 2026-04-26), <-- reason: crashing,
3 l 0 0 D, (Added: 2026-05-13), <-- reason: Attacking taxi at start of game - crasher,
6 card omaha, (Added: 2026-02-04), <-- reason: Pking entire cc causing everyone to dc,
60NinjasYT, (Added: Unknown Date), <-- reason: No reason provided.,
7vu 7vq, (Added: Unknown Date), <-- reason: attacking cc and flaming ranks,
A M P A, (Added: Unknown Date), <-- reason: Attacking cc.,
abouttofart, (Added: Unknown Date), <-- reason: No reason provided.,
addie daddie, (Added: Unknown Date), <-- reason: Attacking cc with comboed.,
aladin 786, (Added: Unknown Date), <-- reason: Attacking cC members.,
Amb3r-Z, (Added: Unknown Date), <-- reason: attacking krillin then attacking cc after.,
Amoredidio, (Added: Unknown Date), <-- reason: attacking cc members.,
ANCIENTDEATH, (Added: 2026-05-18), <-- reason: griefer with femi,
AxB 0, (Added: 2026-03-05), <-- reason: Crashing with Shelts,
Ayako, (Added: 2026-03-27), <-- reason: Crashing games and attacking members [Alt of: SylvestrZcat],
b i g j o e, (Added: 2026-05-10), <-- reason: crashing with misfits,
bad lumps, (Added: Unknown Date), <-- reason: No reason provided.,
benstealing, (Added: Unknown Date), <-- reason: No reason provided.,
Big Mitchyy, (Added: Unknown Date), <-- reason: No reason provided.,
black_eck, (Added: Unknown Date), <-- reason: No reason provided.,
blackk sould, (Added: 2026-02-24), <-- reason: pking cc intentional - do not unban,
blueluxe, (Added: Unknown Date), <-- reason: No reason provided.,
Borden Dairy, (Added: Unknown Date), <-- reason: No reason provided.,
bow0rdie, (Added: 2026-05-30), <-- reason: Crashing with G-I John,
bowhunter23, (Added: 2026-03-02), <-- reason: attacking fc members,
brassic asylum, (Added: Unknown Date), <-- reason: flaming ranks check reports.,
bronzebor, (Added: Unknown Date), <-- reason: attacking cc members.,
Brynxethug, (Added: 2026-04-17), <-- reason: Attacking cc / fragging without calling,
can u tho, (Added: 2026-02-17), <-- reason: crashing games,
CanisCalidus, (Added: 2026-05-17), <-- reason: Greifer/crasher,
CarWashMike, (Added: Unknown Date), <-- reason: No reason provided.,
CastroDS, (Added: Unknown Date), <-- reason: Attacking cc and ranks.,
chaos_blitzz, (Added: 2026-04-14), <-- reason: attacking cc,
ChickWitDlCK, (Added: Unknown Date), <-- reason: flaming people in cc threatening to crash.,
